pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
slope 0.3531276115389933
intercept -189.66613602528855
slope 0.3032626094964374
intercept -150.25813958358867
slope 0.3056358908376185
intercept -147.26654428700346
slope 0.30215972949439723
intercept -148.86016953981883
slope 0.26634415080195656
intercept -126.82800329913023
slope 0.30007409104840765
intercept -154.32809117311413
slope 0.3093614657491973
intercept -159.10251276725745
slope 0.3090448873928185
intercept -158.69378122926662
slope 0.31398551997037366
intercept -158.91972491626083
slope 0.3813747427969917
intercept -210.03104386032706
slope 0.2598084092884861
intercept -121.36912008532067
slope 0.2838064182241082
intercept -138.36578786498688
slope 0.3281376345416506
intercept -171.74896373233133
slope 0.38541118081608083
intercept -210.0814237921454
slope 0.27080438938092627
intercept -128.7442769443637
slope 0.3942871469471949
intercept -225.18376786428757
slope 0.3312644918019385
intercept -165.4675910134848
slope 0.35592396923133857
intercept -187.9266839047801
slope 0.31015116309256563
intercept -153.28654038144194
slope 0.2914164869985706
intercept -145.96063571321048
slope 0.330040035066769
intercept -169.9294626817214
slope 0.3132257749909189
intercept -164.0183939387572
slope 0.29120865333042095
intercept -142.67984403559964
slope 0.3454608722868576
intercept -176.56565794480915
slope 0.3157140199039496
intercept -158.93586479122627
slope 0.3313036368819582
intercept -170.56675424613033
slope 0.36588205833278276
intercept -196.4694840152864
slope 0.35194994690397846
intercept -191.39603556108793
slope 0.3654507575326977
intercept -193.68343253560633
slope 0.31623219097389865
intercept -160.00714739805017
slope 0.30253605541434914
intercept -154.24187943316127
slope 0.2984892722781907
intercept -151.3528297404145
slope 0.2765851914159647
intercept -136.01835729855736
slope 0.34433722578244824
intercept -185.22160265193634
slope 0.309894605486734
intercept -154.63147949795066
slope 0.3360772350981653
intercept -176.11028993415667
slope 0.3681438581578377
intercept -196.72690384095858
slope 0.36226638123237465
intercept -192.58414874864374
slope 0.34596354321316136
intercept -181.78806220922615
slope 0.3395752392152169
intercept -180.85829292239865
slope 0.3136158496436452
intercept -157.91340212055277
slope 0.3467297807684565
intercept -184.01659855486432
slope 0.3021479515968826
intercept -149.5964979898265
slope 0.27297149968074536
intercept -129.6593958068351
slope 0.29202739476627265
intercept -146.83143893959863
slope 0.3553639722323512
intercept -195.05684773066463
slope 0.2689773341706154
intercept -129.51709578673612
slope 0.35010476674993085
intercept -191.54127835377713
slope 0.2862551039784176
intercept -140.73972103766127
slope 0.3653315707166509
intercept -191.95351290003842
slope 0.2915936446264271
intercept -142.4707539234019
slope 0.35558101835905226
intercept -189.9818704181305
slope 0.3384251518193754
intercept -174.16832368289138
slope 0.32287809042741344
intercept -167.695341360031
slope 0.33606847284318303
intercept -175.22466787741166
slope 0.30346242525259726
intercept -153.25605066237102
slope 0.30066290513190164
intercept -146.0398205095591
slope 0.3129085114765397
intercept -161.6166137371808
slope 0.35063250509386795
intercept -186.17066875318122
slope 0.3198464684688921
intercept -162.55707223264815
slope 0.32907823045685464
intercept -169.25846916420593
slope 0.32406515932535385
intercept -163.27418740704863
slope 0.32251539341868696
intercept -165.59014773200286
slope 0.312639434810281
intercept -158.36241700587203
slope 0.31049034084845745
intercept -155.74241987978226
slope 0.3253303960773753
intercept -170.67540012704112
slope 0.35455059595333066
intercept -189.55625784003377
slope 0.34502008899185166
intercept -181.99264459886396
slope 0.2861583292527208
intercept -142.02238979017244
slope 0.33538015102077423
intercept -174.14567417918468
slope 0.25285102241718616
intercept -117.59468661166248
slope 0.33742036530144215
intercept -175.40161129557399
slope 0.33551220807166404
intercept -174.3036368035597
slope 0.26069484243616853
intercept -122.98338564883495
slope 0.3579457622808901
intercept -190.06105166923095
slope 0.3358677882258138
intercept -174.61936197041783
slope 0.24265090438983106
intercept -116.90112446131332
slope 0.3092280579395883
intercept -157.61700492867757
slope 0.2916895903386303
intercept -142.884025917713
slope 0.32854136907078324
intercept -174.7924223724612
slope 0.2919133939819182
intercept -147.20159426322823
slope 0.2972994089871264
intercept -148.7680348808112
slope 0.32262120988648807
intercept -168.7464752572299
slope 0.28557730833548417
intercept -140.68019740224952
slope 0.3631410701723481
intercept -195.05944404689964
slope 0.31527511935104985
intercept -158.06814470979873
slope 0.26754551669307103
intercept -127.85808799811764
slope 0.31533501450946255
intercept -159.92881363311378
slope 0.32930005787198713
intercept -173.46800575356878
slope 0.2998090451012342
intercept -148.05809328733812
slope 0.32681041020208007
intercept -165.44306249871636
slope 0.3099330203645777
intercept -154.89319339941702
slope 0.33729952669430174
intercept -176.28136183412053
slope 0.3028048886629205
intercept -150.00445394383578
slope 0.3258263156621257
intercept -167.90611615553806
slope 0.3583198866652367
intercept -190.144562016175
slope 0.3580468757416463
intercept -187.05717618170797
slope 0.34433119434849124
intercept -181.6827086161588
slope 0.36517913360268417
intercept -198.70007818300206
slope 0.28733808482221385
intercept -139.7917647434351
slope 0.36865650826810037
intercept -203.89747408710684
slope 0.3090220471188411
intercept -157.64444308240323
slope 0.3832385269054015
intercept -211.00929977700534
slope 0.292340949892972
intercept -144.1613695132898
slope 0.3925602165233892
intercept -215.88527651549353
slope 0.31053282998005166
intercept -155.95648778661493
slope 0.3164843885276392
intercept -159.42728328309076
slope 0.31521942342521714
intercept -156.16123035201565
slope 0.2577359061466758
intercept -121.49643412822473
slope 0.3178763801608817
intercept -165.08193414620487
slope 0.34930577319502815
intercept -184.40224727662883
slope 0.27797428096628823
intercept -134.7120530628945
slope 0.2781541454552919
intercept -135.13645746476985
slope 0.3404370493539036
intercept -177.98219328122482
slope 0.2911555666748418
intercept -142.24796614405253
slope 0.36411523262435075
intercept -201.99961040999554
slope 0.30290303601081625
intercept -152.87991951665893
slope 0.2973104532772829
intercept -149.2993329896182
slope 0.3136525870028555
intercept -160.96038408483983
slope 0.3056950544401448
intercept -153.56251553513167
slope 0.26226401424461426
intercept -125.71528800347473
slope 0.2532314320043017
intercept -119.90620291992839
slope 0.3250772562094874
intercept -161.9783726392967
slope 0.4033183430150258
intercept -219.9041976812979
slope 0.3234848783344159
intercept -161.88523653023648
slope 0.26093669944759457
intercept -128.77238252269836
slope 0.3436213817792473
intercept -180.35651350470317
slope 0.3147990390905865
intercept -164.8544288583346
slope 0.2895803298274073
intercept -140.98173724836636
slope 0.2954637856325066
intercept -150.0498734765596
slope 0.2850060947619153
intercept -139.91878667632028
slope 0.3395150295289153
intercept -179.15064040764088
slope 0.30177999457399657
intercept -155.0352543723859
slope 0.2886191555664649
intercept -142.82308631712894
slope 0.3220622361828288
intercept -167.99485761943612
slope 0.34917818697387243
intercept -187.1468707540567
