pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Sample Time:  0.016666666666666666
QCar configured successfully.
intercept -8.252627882228616
slope 0.3526038671228246
intercept -7.753123887724073
slope 0.35213756392771844
intercept -9.99545613270224
slope 0.35418163046573964
intercept -12.691736459825243
slope 0.35591589800673057
intercept -13.028414865410236
slope 0.35141011209735057
intercept -13.426255597051059
slope 0.3527638510620214
intercept -14.41916525004372
slope 0.35514978147499815
intercept -15.910437787342808
slope 0.3489494683477712
intercept -12.272242226853962
slope 0.35050857463073176
intercept -15.149811266604397
slope 0.3497944737159833
intercept -15.499623351110008
slope 0.3513012381537066
intercept -17.797812269097683
slope 0.3517381568454156
intercept -17.455174042515864
slope 0.3492666070602837
intercept -15.892623235437368
slope 0.35425787732429276
intercept -17.061613427907286
slope 0.3516650602427996
intercept -16.224791647565358
slope 0.35489910400654345
intercept -15.024138409252025
slope 0.34996133634339255
intercept -14.650708159293341
slope 0.3494885772386426
intercept -13.97091870315165
slope 0.3523992655236825
intercept -13.87531131788573
slope 0.3453192731583966
intercept -10.427207623068698
slope 0.3448387090890354
intercept -8.574916934224552
slope 0.33848784256444453
intercept -7.3140705997660955
slope 0.34107633952688887
intercept -6.368806543749215
slope 0.3429268817297969
intercept -7.57866220640781
slope 0.35089857933147517
intercept -11.912191024490904
slope 0.3499221312255378
intercept -13.460638127637555
slope 0.3609195444014493
intercept -16.27651479823536
slope 0.32545784659452587
intercept -10.12550195802622
slope 0.32188421045698135
intercept -8.150987373379182
slope 0.2670458120647476
intercept 4.7876913822600295
slope 0.2683202203801149
intercept 5.006457705659684
slope 0.17116089756769945
intercept 24.676647732918404
slope 0.2381589992125064
intercept 11.712515913558818
slope 0.31379368352339243
intercept -0.897987787451201
slope 0.3146052798011436
intercept -0.30637110630071657
slope 0.3030983895395906
intercept -0.5120322147472484
slope 0.28923071917919607
intercept -2.862973940648575
slope 0.2797536558541509
intercept -7.145414751526717
slope 0.27049884447768585
intercept -14.560810866716455
slope 0.2662030055633568
intercept -25.11161941925749
slope 0.26604911954888955
intercept -31.05890807573093
slope 0.25663586803807387
intercept -34.74665834336084
slope 0.2537973296775022
intercept -35.884854436824995
slope 0.2470567354444805
intercept -34.59510479128532
slope 0.24106832618270874
intercept -29.603058141476847
slope 0.23662734989319795
intercept -27.168461544440166
slope 0.23029819338716342
intercept -20.719059660828332
slope 0.22448368141137057
intercept -16.454100500645684
slope 0.2207378801461087
intercept -12.755523068671291
slope 0.2189782899009642
intercept -11.654562110630568
slope 0.2187801228430146
intercept -12.651805276009153
slope 0.2146257357643684
intercept -15.435846058887135
slope 0.21726427508603208
intercept -23.773670055871698
slope 0.2173596004386915
intercept -25.768467118275613
slope 0.2138300065716077
intercept -30.81750377741556
slope 0.21889995131772993
intercept -34.648685025994965
slope 0.2205667072598456
intercept -37.502861513250245
slope 0.21766059595365309
intercept -36.71187846199158
slope 0.21710663411382924
intercept -37.42377347831205
slope 0.21751171834077546
intercept -38.56799973283759
slope 0.21720839599498157
intercept -38.857142739995204
slope 0.21342549463648128
intercept -35.13483923337903
slope 0.21358059671439109
intercept -32.88247669956731
slope 0.20962213042241606
